"","Ensembl.Gene.ID","GeneSymbol","Initially.Assigned.Module.Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEmidnightblue","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSG00000002330","ENSG00000002330","BAD","green",0,-0.253361727587703,-0.284205923185275,0,0.497053203853471,0,0,-0.123074146608939,0.344895359176943,0.0331000397426379,0,0,0.145857676475633,0,0.0724160463850323
"ENSG00000002549","ENSG00000002549","LAP3","grey",0,0,0,0,0,0.368556822445794,-0.112544299943035,0,-0.0924423811873407,0.297644311073544,0,0.276041086661949,-0.320131003195088,0.280145781754129,0
"ENSG00000002587","ENSG00000002587","HS3ST1","grey",0.353836591046037,0,0,0,-0.020105754249451,-0.122504895710184,0,0.311142667866998,0.15230130561289,-0.440728857965277,0,-0.324291697032853,0,-0.509517882625789,-0.215793887853098
"ENSG00000002745","ENSG00000002745","WNT16","grey",0.0915956429453528,-0.0556125856594188,0,0,0,0,0,0.0148264262188126,0.0731596503639834,-0.143538722742397,0,-0.0476355324966829,0,-0.230140983014587,0
"ENSG00000002746","ENSG00000002746","HECW1","red",0.596069415721291,-0.518446768588892,0,-0.770774377973604,0,-0.252333357428126,-0.498074443330645,0.368181067174446,0.441126009804506,-0.390646032970297,0.786785829205477,-0.456833400004376,-0.07626852111321,-0.0870354481223912,-0.333622368478674
"ENSG00000002822","ENSG00000002822","MAD1L1","grey",0,0,0,0,0,-0.112448012013677,0,0,0.160954381885125,-0.126400224071003,0,-0.0271662055411517,0.306355494822637,0,0
"ENSG00000002834","ENSG00000002834","LASP1","grey",0.175803798138363,-0.150432353107503,0,-0.130652145577705,0,-0.00578231281025812,-0.367513901567956,0.166510230938234,0.010734595670812,0,0.394199516076744,-0.0394795713441406,-0.203469376038695,-0.142019558246578,-0.208689431336348
"ENSG00000002919","ENSG00000002919","SNX11","green",0,-0.0961251883772399,-0.213543170838559,0,0.449460593261131,0,0,-0.126103126788536,0.185492316864938,0,0,0,0.075629334419224,0.00996105836668584,0.139201748878572
"ENSG00000002933","ENSG00000002933","TMEM176A","purple",-0.209681356531816,0,-0.160549950378106,0.244682632135658,0.207447055821861,0.585881924302843,0,-0.374007698151001,0,0.541291760609691,-0.199068095323257,0.530028812136984,0,0.213611565955272,0.421552285470647
"ENSG00000003056","ENSG00000003056","M6PR","grey",0.0397638746544676,-0.02485664206378,0,0,0,0.110974169102473,-0.1263110784033,0,0,0,0.0339554623802077,0,0,0,0
"ENSG00000003096","ENSG00000003096","KLHL13","grey",0.156335454580169,0.0971183117040974,0.32394576191063,0.0265245639811706,-0.381303758189307,0,0,0.384423277310567,-0.103430994235494,0,0,0,0,-0.0952779346473065,-0.290097816155671
"ENSG00000003137","ENSG00000003137","CYP26B1","grey",0.430029649211905,0,0.0116811133097007,0,-0.110558589263518,-0.246679656206952,0,0.364627401110392,0.213322128742395,-0.443193034120342,0,-0.39536090010774,0,-0.35368691584621,-0.302112752650721
"ENSG00000003147","ENSG00000003147","ICA1","grey",0.51219693814829,-0.524777029619831,0,-0.374665036416272,0,-0.173027834470672,-0.390450935663776,0.0950190859451836,0.327643720229984,-0.251497248653066,0.46872179047438,-0.307182082839096,-0.172519980301871,-0.0918028898553863,-0.24703777934442
"ENSG00000003249","ENSG00000003249","DBNDD1","grey",0.458938901684942,-0.524769576618917,-0.113542831690915,-0.464031174792462,0.100023431468165,-0.0853696417735403,-0.248198978152039,0.0955083346049459,0.649072246640264,-0.20235659867403,0.550105908607212,-0.219212988401646,0,-0.102968922795432,-0.103939081988266
"ENSG00000003393","ENSG00000003393","ALS2","grey",0.333821884144975,0,0.241214979796357,0,-0.40115693778637,-0.305235372312399,0,0.495658901774257,0,-0.429120208579565,0,-0.420262762134283,0,-0.29123976271376,-0.517336629834352
"ENSG00000003400","ENSG00000003400","CASP10","salmon",-0.523925604040689,0,-0.225879839793078,0.152115731808248,0.196124477892243,0.588152080481105,0,-0.506484658511721,-0.180467637659487,0.479000724289691,-0.183854242297047,0.635472712379995,0,0.161078780982894,0.463615677931192
"ENSG00000003402","ENSG00000003402","CFLAR","cyan",-0.49696848619426,0.553418280888298,0,0.80040936937087,0,0.169180836357538,0.574589801877874,-0.317190954319445,-0.510227877415056,0.350642862956942,-0.825070528875463,0.382973885773032,0.0783026287626899,0.0736192838256759,0.185167442670548
